,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,IBM,IBM,IBM,IBM,IBM,IBM
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2023-01-03 00:00:00-05:00,130.27999877929688,130.89999389648438,124.16999816894531,125.06999969482422,125.06999969482422,112117500,243.0800018310547,245.75,237.39999389648438,239.5800018310547,239.5800018310547,25740000,141.10000610351562,141.89999389648438,140.47999572753906,141.5500030517578,141.5500030517578,3338600
2023-01-04 00:00:00-05:00,126.88999938964844,128.66000366210938,125.08000183105469,126.36000061035156,126.36000061035156,89113600,232.27999877929688,232.8699951171875,225.9600067138672,229.10000610351562,229.10000610351562,50623400,142.07000732421875,143.6199951171875,141.3699951171875,142.60000610351562,142.60000610351562,3869200
2023-01-05 00:00:00-05:00,127.12999725341797,127.7699966430664,124.76000213623047,125.0199966430664,125.0199966430664,80962700,227.1999969482422,227.5500030517578,221.75999450683594,222.30999755859375,222.30999755859375,39585600,142.44000244140625,142.5,140.00999450683594,141.11000061035156,141.11000061035156,2866600
2023-01-06 00:00:00-05:00,126.01000213623047,130.2899932861328,124.88999938964844,129.6199951171875,129.6199951171875,87686600,223.0,225.75999450683594,219.35000610351562,224.92999267578125,224.92999267578125,43597700,142.3800048828125,144.25,141.5800018310547,143.6999969482422,143.6999969482422,3573600
2023-01-09 00:00:00-05:00,130.47000122070312,133.41000366210938,129.88999938964844,130.14999389648438,130.14999389648438,70790800,226.4499969482422,231.24000549316406,226.41000366210938,227.1199951171875,227.1199951171875,27369800,144.0800018310547,145.47000122070312,143.39999389648438,143.5500030517578,143.5500030517578,3987700
2023-01-10 00:00:00-05:00,130.25999450683594,131.25999450683594,128.1199951171875,130.72999572753906,130.72999572753906,63896200,227.75999450683594,231.30999755859375,227.3300018310547,228.85000610351562,228.85000610351562,27033900,143.61000061035156,144.85000610351562,142.89999389648438,144.8000030517578,144.8000030517578,2152100
2023-01-11 00:00:00-05:00,131.25,133.50999450683594,130.4600067138672,133.49000549316406,133.49000549316406,69458900,231.2899932861328,235.9499969482422,231.11000061035156,235.77000427246094,235.77000427246094,28669300,145.0,145.52999877929688,143.4499969482422,145.25999450683594,145.25999450683594,3268700
2023-01-12 00:00:00-05:00,133.8800048828125,134.25999450683594,131.44000244140625,133.41000366210938,133.41000366210938,71379600,235.25999450683594,239.89999389648438,233.55999755859375,238.50999450683594,238.50999450683594,27269500,144.8800048828125,146.66000366210938,144.52000427246094,145.5500030517578,145.5500030517578,2715900
2023-01-13 00:00:00-05:00,132.02999877929688,134.9199981689453,131.66000366210938,134.75999450683594,134.75999450683594,57758000,237.0,239.3699951171875,234.9199981689453,239.22999572753906,239.22999572753906,21317700,144.05999755859375,146.10000610351562,144.00999450683594,145.88999938964844,145.88999938964844,2455700
2023-01-17 00:00:00-05:00,134.8300018310547,137.2899932861328,134.1300048828125,135.94000244140625,135.94000244140625,63646600,237.97000122070312,240.91000366210938,237.08999633789062,240.35000610351562,240.35000610351562,29831300,146.4199981689453,147.17999267578125,145.00999450683594,145.19000244140625,145.19000244140625,2986500
2023-01-18 00:00:00-05:00,136.82000732421875,138.61000061035156,135.02999877929688,135.2100067138672,135.2100067138672,69672800,241.57000732421875,242.3800048828125,235.52000427246094,235.80999755859375,235.80999755859375,30028700,144.39999389648438,144.67999267578125,140.22999572753906,140.41000366210938,140.41000366210938,6445600
2023-01-19 00:00:00-05:00,134.0800018310547,136.25,133.77000427246094,135.27000427246094,135.27000427246094,58280400,233.77999877929688,235.52000427246094,230.67999267578125,231.92999267578125,231.92999267578125,28623000,140.0,142.22999572753906,139.75,140.6199951171875,140.6199951171875,4833900
2023-01-20 00:00:00-05:00,135.27999877929688,138.02000427246094,134.22000122070312,137.8699951171875,137.8699951171875,79972200,234.86000061035156,240.74000549316406,234.50999450683594,240.22000122070312,240.22000122070312,35323400,141.6699981689453,141.86000061035156,140.50999450683594,141.1999969482422,141.1999969482422,7152700
2023-01-23 00:00:00-05:00,138.1199951171875,143.32000732421875,137.89999389648438,141.11000061035156,141.11000061035156,81760300,241.10000610351562,245.1699981689453,239.64999389648438,242.5800018310547,242.5800018310547,31934000,141.39999389648438,142.99000549316406,141.05999755859375,141.86000061035156,141.86000061035156,5898400
2023-01-24 00:00:00-05:00,140.30999755859375,143.16000366210938,140.3000030517578,142.52999877929688,142.52999877929688,66435100,242.5,243.9499969482422,240.44000244140625,242.0399932861328,242.0399932861328,40234400,141.25,142.75,140.0,141.49000549316406,141.49000549316406,4407600
2023-01-25 00:00:00-05:00,140.88999938964844,142.42999267578125,138.80999755859375,141.86000061035156,141.86000061035156,65799300,234.47999572753906,243.3000030517578,230.89999389648438,240.61000061035156,240.61000061035156,66526600,140.47000122070312,141.02999877929688,139.36000061035156,140.75999450683594,140.75999450683594,7347500
2023-01-26 00:00:00-05:00,143.1699981689453,144.25,141.89999389648438,143.9600067138672,143.9600067138672,54105100,243.64999389648438,248.30999755859375,242.0,248.0,248.0,33454500,137.52999877929688,138.27000427246094,132.97999572753906,134.4499969482422,134.4499969482422,17548500
2023-01-27 00:00:00-05:00,143.16000366210938,147.22999572753906,143.0800018310547,145.92999267578125,145.92999267578125,70492800,248.99000549316406,249.8300018310547,246.8300018310547,248.16000366210938,248.16000366210938,26480800,134.44000244140625,135.49000549316406,133.77000427246094,134.38999938964844,134.38999938964844,8140700
2023-01-30 00:00:00-05:00,144.9600067138672,145.5500030517578,142.85000610351562,143.0,143.0,64015300,244.50999450683594,245.60000610351562,242.1999969482422,242.7100067138672,242.7100067138672,25867400,134.32000732421875,136.11000061035156,133.97999572753906,135.3000030517578,135.3000030517578,5375700
2023-01-31 00:00:00-05:00,142.6999969482422,144.33999633789062,142.27999877929688,144.2899932861328,144.2899932861328,60339047,243.4499969482422,247.9499969482422,242.94500732421875,247.80999755859375,247.80999755859375,26541072,135.5,135.64999389648438,133.75999450683594,134.72999572753906,134.72999572753906,7167783
